sitio;inventario;arboles;variable;anova_p;tukey_variable;tukey_p;bartlett_p
Sanpablo_incrementos;2-3;Quercus pirenaica;ABi;0,23288157103769144;E-D;0,92381383649634041;0,25277325210710300
Sanpablo_incrementos;2-3;Quercus pirenaica;Vi;0,44389893970589916;D-A;0,68818533967490292;0,40657837585341433
Sanpablo_incrementos;2-3;Quercus pirenaica;Vi;0,44389893970589916;E-A;0,42117971860211034;0,40657837585341433
Sanpablo_incrementos;2-3;Quercus pirenaica;Vi;0,44389893970589916;E-D;0,87380910754557428;0,40657837585341433
Sanpablo_incrementos;2-3;Quercus pirenaica;Wi;0,64889954231521951;D-A;0,94491500071390622;0,62429002075690143
Sanpablo_incrementos;2-3;Quercus pirenaica;Wi;0,64889954231521951;E-A;0,63250073390640904;0,62429002075690143
Sanpablo_incrementos;2-3;Quercus pirenaica;Wi;0,64889954231521951;E-D;0,81170244405759340;0,62429002075690143
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,99743251518457121;D-A;0,99764118010464475;0,05195788312167288
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,99743251518457121;E-A;0,99997017400286381;0,05195788312167288
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;ABi;0,99743251518457121;E-D;0,99814084755440535;0,05195788312167288
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,62904953336024727;D-A;0,73337218507604796;0,04684314861215114
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,62904953336024727;E-A;0,63779612600607971;0,04684314861215114
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Vi;0,62904953336024727;E-D;0,98446521619186556;0,04684314861215114
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,76607752524218908;D-A;0,75280029659394865;0,12647875338825304
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,76607752524218908;E-A;0,88370812126507348;0,12647875338825304
Sanpablo_incrementos;2-3;P. pinaster + Q. pirenaica;Wi;0,76607752524218908;E-D;0,96448972962817403;0,12647875338825304
Lubia_incrementos;1-2;Pinus pinaster;Dgi;0,00229876722281024;D-A;0,00415746715464571;0,23532743886055052
Lubia_incrementos;1-2;Pinus pinaster;Dgi;0,00229876722281024;E-A;0,00359788154435015;0,23532743886055052
Lubia_incrementos;1-2;Pinus pinaster;Dgi;0,00229876722281024;E-D;0,98675476243727311;0,23532743886055052
Lubia_incrementos;1-2;Pinus pinaster;Hi;0,89470972126227921;D-A;0,88678167808460717;0,71199218505151118
Lubia_incrementos;1-2;Pinus pinaster;Hi;0,89470972126227921;E-A;0,95446027396836886;0,71199218505151118
Lubia_incrementos;1-2;Pinus pinaster;Hi;0,89470972126227921;E-D;0,98239360290811917;0,71199218505151118
Lubia_incrementos;1-2;Pinus pinaster;ABi;0,41873085100191415;D-A;0,99473417035738321;0,81493270436565868
Lubia_incrementos;1-2;Pinus pinaster;ABi;0,41873085100191415;E-A;0,50631102509757775;0,81493270436565868
Lubia_incrementos;1-2;Pinus pinaster;ABi;0,41873085100191415;E-D;0,45664275883041849;0,81493270436565868
Lubia_incrementos;1-2;Pinus pinaster;Vi;0,65444077900536879;D-A;0,63226903521126121;0,85185942137030279
Lubia_incrementos;1-2;Pinus pinaster;Vi;0,65444077900536879;E-A;0,84393148245373506;0,85185942137030279
Lubia_incrementos;1-2;Pinus pinaster;Vi;0,65444077900536879;E-D;0,92221673466547005;0,85185942137030279
Lubia_incrementos;1-2;Pinus pinaster;Wi;0,68307057762541867;D-A;0,74393153659148348;0,63587644347932026
Lubia_incrementos;1-2;Pinus pinaster;Wi;0,68307057762541867;E-A;0,71266383003900413;0,63587644347932026
Lubia_incrementos;1-2;Pinus pinaster;Wi;0,68307057762541867;E-D;0,99829118454724752;0,63587644347932026
Lubia_incrementos;1-2;Quercus pirenaica;Dgi;0,34672120307890347;D-A;0,99660198191078853;0,67079037986352541
Lubia_incrementos;1-2;Quercus pirenaica;Dgi;0,34672120307890347;E-A;0,39056857484096674;0,67079037986352541
Lubia_incrementos;1-2;Quercus pirenaica;Dgi;0,34672120307890347;E-D;0,42651352578249790;0,67079037986352541
Lubia_incrementos;1-2;Quercus pirenaica;Hi;0,74658017462888737;D-A;0,97681424043394260;0,89757295250763436
Lubia_incrementos;1-2;Quercus pirenaica;Hi;0,74658017462888737;E-A;0,74035392881584949;0,89757295250763436
Lubia_incrementos;1-2;Quercus pirenaica;Hi;0,74658017462888737;E-D;0,84971397088865053;0,89757295250763436
Lubia_incrementos;1-2;Quercus pirenaica;ABi;0,33391867094958388;D-A;0,62383410095823000;0,21533317459019821
Lubia_incrementos;1-2;Quercus pirenaica;ABi;0,33391867094958388;E-A;0,30939846313353736;0,21533317459019821
Lubia_incrementos;1-2;Quercus pirenaica;ABi;0,33391867094958388;E-D;0,79725585481863670;0,21533317459019821
Lubia_incrementos;1-2;Quercus pirenaica;Vi;0,37113656430299813;D-A;0,35612784211547477;0,00336793224631949
